"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"31.12.2017","13.000,00","12.385,00","13.391,00","12.183,88","5,03"
"30.12.2017","12.377,00","14.308,00","14.403,00","11.690,00","-13,55"
"29.12.2017","14.317,00","14.323,00","15.105,00","13.847,00","0,01"
"28.12.2017","14.315,00","15.374,00","15.467,00","13.232,00","-6,89"
"27.12.2017","15.374,00","15.680,00","16.494,00","14.463,00","-1,95"
"26.12.2017","15.679,00","13.627,00","16.048,00","13.550,00","15,09"
"25.12.2017","13.623,00","13.517,00","14.278,00","12.678,00","1,09"
"24.12.2017","13.476,00","14.036,00","14.047,00","11.601,18","-3,98"
"23.12.2017","14.035,00","13.173,00","14.986,00","12.755,00","6,57"
"22.12.2017","13.170,00","15.650,00","15.826,00","10.718,00","-15,94"
"21.12.2017","15.666,83","16.433,00","17.333,00","14.827,00","-4,62"
"20.12.2017","16.425,00","17.340,00","17.709,00","15.500,00","-5,30"
"19.12.2017","17.345,00","18.931,00","18.987,00","16.500,00","-8,39"
"18.12.2017","18.934,00","18.959,00","19.171,00","18.010,00","-0,20"
"17.12.2017","18.971,00","19.210,00","19.891,00","18.622,00","-1,13"
"16.12.2017","19.187,00","17.569,55","19.548,00","17.098,00","9,50"
"15.12.2017","17.522,00","16.396,00","18.098,00","16.352,00","6,95"
"14.12.2017","16.383,00","16.122,00","16.999,00","15.870,00","1,25"
"13.12.2017","16.181,00","17.010,00","17.288,00","15.674,00","-4,63"
"12.12.2017","16.967,00","16.754,00","17.500,00","16.234,00","1,27"
"11.12.2017","16.754,00","14.937,00","17.443,00","14.937,00","11,72"
"10.12.2017","14.997,00","14.660,00","15.728,00","12.748,00","2,30"
"09.12.2017","14.660,00","15.829,00","16.300,00","13.021,00","-7,62"
"08.12.2017","15.869,00","16.608,00","17.160,00","13.774,00","-4,41"
"07.12.2017","16.601,00","13.500,00","16.639,00","13.154,00","22,72"
"06.12.2017","13.527,00","11.590,00","13.598,00","11.590,00","16,66"
"05.12.2017","11.595,00","11.611,00","11.949,00","11.414,00","0,00"
"04.12.2017","11.595,00","11.162,00","11.598,00","10.788,00","3,93"
"03.12.2017","11.157,00","10.880,00","11.842,00","10.299,00","2,54"
"02.12.2017","10.881,00","10.852,00","11.187,00","10.627,00","0,11"
"01.12.2017","10.869,00","9.907,00","10.949,00","9.370,10","9,71"
"","","","","",""
"","Máximo:19.891,00","Mínimo:9.370,10","Diferencia:10.520,90","Promedio:14.885,58","% var.:31,22"
