date,open,high,low,close,volume,marketcap
"Jan 01, 2018",14112.2,14112.2,13154.7,13657.2,"10,291,200,000","236,725,000,000"
"Dec 31, 2017",12897.7,14377.4,12755.6,14156.4,"12,136,300,000","216,326,000,000"
"Dec 30, 2017",14681.9,14681.9,12350.1,12952.2,"14,452,600,000","246,224,000,000"
"Dec 29, 2017",14695.8,15279,14307,14656.2,"13,025,500,000","246,428,000,000"
"Dec 28, 2017",15864.1,15888.4,13937.3,14606.5,"12,336,500,000","265,988,000,000"
"Dec 27, 2017",16163.5,16930.9,15114.3,15838.5,"12,487,600,000","270,976,000,000"
"Dec 26, 2017",14036.6,16461.2,14028.9,16099.8,"13,454,300,000","235,294,000,000"
"Dec 25, 2017",13995.9,14593,13448.9,14026.6,"10,664,700,000","234,590,000,000"
"Dec 24, 2017",14608.2,14626,12747.7,13925.8,"11,572,300,000","244,824,000,000"
"Dec 23, 2017",13948.7,15603.2,13828.8,14699.2,"13,086,000,000","233,748,000,000"
"Dec 22, 2017",15898,15943.4,11833,13831.8,"22,198,000,000","266,381,000,000"
"Dec 21, 2017",16642.4,17567.7,15342.7,15802.9,"16,516,600,000","278,827,000,000"
"Dec 20, 2017",17760.3,17934.7,16077.7,16624.6,"22,149,700,000","297,526,000,000"
"Dec 19, 2017",19118.3,19177.8,17275.4,17776.7,"16,894,500,000","320,242,000,000"
"Dec 18, 2017",19106.4,19371,18355.9,19114.2,"14,839,500,000","320,000,000,000"
"Dec 17, 2017",19475.8,20089,18974.1,19140.8,"13,314,600,000","326,141,000,000"
"Dec 16, 2017",17760.3,19716.7,17515.3,19497.4,"12,740,600,000","297,376,000,000"
"Dec 15, 2017",16601.3,18154.1,16601.3,17706.9,"14,310,000,000","277,936,000,000"
"Dec 14, 2017",16384.6,17085.8,16185.9,16564,"13,777,400,000","274,269,000,000"
"Dec 13, 2017",17500,17653.1,16039.7,16408.2,"12,976,900,000","292,900,000,000"
"Dec 12, 2017",16919.8,17781.8,16571.6,17415.4,"14,603,800,000","283,155,000,000"
"Dec 11, 2017",15427.4,17513.9,15404.8,16936.8,"12,153,900,000","258,147,000,000"
"Dec 10, 2017",15168.4,15850.6,13226.6,15455.4,"13,433,300,000","253,782,000,000"
"Dec 09, 2017",16523.3,16783,13674.9,15178.2,"13,911,300,000","276,415,000,000"
"Dec 08, 2017",17802.9,18353.4,14336.9,16569.4,"21,136,000,000","297,787,000,000"
"Dec 07, 2017",14266.1,17899.7,14057.3,17899.7,"17,950,700,000","238,600,000,000"
"Dec 06, 2017",11923.4,14369.1,11923.4,14291.5,"12,656,300,000","199,390,000,000"
"Dec 05, 2017",11685.7,12032,11604.6,11916.7,"6,895,260,000","195,389,000,000"
"Dec 04, 2017",11315.4,11657.2,11081.8,11657.2,"6,132,410,000","189,172,000,000"
"Dec 03, 2017",11082.7,11858.7,10862,11323.2,"6,608,310,000","185,258,000,000"
